annee_de_deces;region_de_domicile;classe_d_age_de_10_ans;sexe;cause_initiale_de_deces;effectif_de_deces
2021;52;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;400
2022;52;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;361
2019;53;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;385
2020;53;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;400
2021;53;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;382
2022;53;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;389
2019;75;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;725
2020;75;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;636
2021;75;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;686
2022;75;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;713
2019;76;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;604
2020;76;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;627
2021;76;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;610
2022;76;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;645
2019;84;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;659
2020;84;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;713
2021;84;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;711
2022;84;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;727
2019;93;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;535
2020;93;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;484
2021;93;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;545
2022;93;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;528
2019;94;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;43
2020;94;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;42
2021;94;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;33
2022;94;55-64;Tous sexes;7. Maladies de l’appareil circulatoire;32
2019;1;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;119
2020;1;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;110
2021;1;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;125
2022;1;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;130
2019;2;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;108
2020;2;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;122
2021;2;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;137
2022;2;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;128
2019;3;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;45
2020;3;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;36
2021;3;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;46
2022;3;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;46
2019;4;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;214
2020;4;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;212
2021;4;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;207
2022;4;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;243
2019;6;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;32
2020;6;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;44
2021;6;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;45
2022;6;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;46
2019;11;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1902
2020;11;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;2081
2021;11;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;2218
2022;11;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;2087
2019;24;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;689
2020;24;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;696
2021;24;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;668
2022;24;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;743
2019;27;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;779
2020;27;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;811
2021;27;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;818
2022;27;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;795
2019;28;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;911
2020;28;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;943
2021;28;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1022
2022;28;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1047
2019;32;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1667
2020;32;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1874
2021;32;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1869
2022;32;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1968
2019;44;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1464
2020;44;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1453
2021;44;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1554
2022;44;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1482
2019;52;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;743
2020;52;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;848
2021;52;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;897
2022;52;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;916
2019;53;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;901
2020;53;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;903
2021;53;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;924
2022;53;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;896
2019;75;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1566
2020;75;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1518
2021;75;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1657
2022;75;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1713
2019;76;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1414
2020;76;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1442
2021;76;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1514
2022;76;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1593
2019;84;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1673
2020;84;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1598
2021;84;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1751
2022;84;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1767
2019;93;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1242
2020;93;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1230
2021;93;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1262
2022;93;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;1244
2019;94;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;97
2020;94;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;78
2021;94;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;106
2022;94;65-74;Tous sexes;7. Maladies de l’appareil circulatoire;104
2019;1;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;211
2020;1;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;203
2021;1;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;218
2022;1;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;200
2019;2;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;229
2020;2;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;192
2021;2;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;203
2022;2;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;176
2019;3;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;40
2020;3;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;39
2021;3;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;41
2022;3;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;54
2019;4;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;339
2020;4;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;300
2021;4;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;315
2022;4;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;329
2019;6;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;34
2020;6;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;38
2021;6;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;39
2022;6;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;47
2019;11;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3270
2020;11;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3160
2021;11;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3400
2022;11;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3423
2019;24;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1323
2020;24;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1274
2021;24;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1258
2022;24;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1252
2019;27;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1561
2020;27;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1434
2021;27;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1499
2022;27;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1379
2019;28;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1679
2020;28;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1620
2021;28;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1675
2022;28;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1804
2019;32;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2789
2020;32;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2713
2021;32;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2620
2022;32;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2708
2019;44;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2880
2020;44;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2594
2021;44;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2683
2022;44;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2665
2019;52;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1635
2020;52;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1560
2021;52;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1656
2022;52;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1668
2019;53;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1855
2020;53;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1721
2021;53;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1755
2022;53;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;1764
2019;75;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3071
2020;75;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3003
2021;75;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3150
2022;75;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3178
2019;76;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2937
2020;76;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2794
2021;76;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2734
2022;76;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2913
2019;84;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3575
2020;84;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3143
2021;84;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3364
2022;84;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;3452
2019;93;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2347
2020;93;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2421
2021;93;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2442
2022;93;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;2581
2019;94;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;168
2020;94;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;185
2021;94;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;182
2022;94;75-84;Tous sexes;7. Maladies de l’appareil circulatoire;178
2019;1;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;244
2020;1;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;243
2021;1;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;225
2022;1;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;254
2019;2;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;301
2020;2;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;254
2021;2;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;284
2022;2;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;290
2019;3;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;41
2020;3;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;21
2021;3;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;31
2022;3;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;36
2019;4;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;341
2020;4;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;327
2021;4;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;340
2022;4;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;356
2019;6;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;13
2020;6;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;24
2021;6;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;27
2022;6;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;27
2019;11;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6371
2020;11;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5922
2021;11;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5812
2022;11;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6057
2019;24;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;2822
2020;24;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;2754
2021;24;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;2935
2022;24;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;2812
2019;27;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3121
2020;27;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;2995
2021;27;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;2959
2022;27;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;2927
2019;28;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3650
2020;28;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3540
2021;28;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3536
2022;28;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3643
2019;32;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5189
2020;32;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4935
2021;32;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4847
2022;32;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5061
2019;44;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5495
2020;44;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5204
2021;44;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5008
2022;44;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;5308
2019;52;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4110
2020;52;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3865
2021;52;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4043
2022;52;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3902
2019;53;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4213
2020;53;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;3966
2021;53;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4074
2022;53;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4115
2019;75;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;7412
2020;75;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;7050
2021;75;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;7299
2022;75;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;7102
2019;76;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6519
2020;76;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6230
2021;76;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6412
2022;76;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6543
2019;84;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;7393
2020;84;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6970
2021;84;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;7008
2022;84;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;6996
2019;93;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4984
2020;93;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4909
2021;93;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4846
2022;93;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;4819
2019;94;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;281
2020;94;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;324
2021;94;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;333
2022;94;85-94;Tous sexes;7. Maladies de l’appareil circulatoire;334
2019;1;95p;Tous sexes;7. Maladies de l’appareil circulatoire;104
2020;1;95p;Tous sexes;7. Maladies de l’appareil circulatoire;94
2021;1;95p;Tous sexes;7. Maladies de l’appareil circulatoire;112
2022;1;95p;Tous sexes;7. Maladies de l’appareil circulatoire;93
2019;2;95p;Tous sexes;7. Maladies de l’appareil circulatoire;112
2020;2;95p;Tous sexes;7. Maladies de l’appareil circulatoire;109
2021;2;95p;Tous sexes;7. Maladies de l’appareil circulatoire;114
2022;2;95p;Tous sexes;7. Maladies de l’appareil circulatoire;114
2019;3;95p;Tous sexes;7. Maladies de l’appareil circulatoire;5
2020;3;95p;Tous sexes;7. Maladies de l’appareil circulatoire;5
2021;3;95p;Tous sexes;7. Maladies de l’appareil circulatoire;10
2022;3;95p;Tous sexes;7. Maladies de l’appareil circulatoire;12
2019;4;95p;Tous sexes;7. Maladies de l’appareil circulatoire;93
2020;4;95p;Tous sexes;7. Maladies de l’appareil circulatoire;97
2021;4;95p;Tous sexes;7. Maladies de l’appareil circulatoire;91
2022;4;95p;Tous sexes;7. Maladies de l’appareil circulatoire;92
2019;6;95p;Tous sexes;7. Maladies de l’appareil circulatoire;5
2020;6;95p;Tous sexes;7. Maladies de l’appareil circulatoire;4
2021;6;95p;Tous sexes;7. Maladies de l’appareil circulatoire;9
2022;6;95p;Tous sexes;7. Maladies de l’appareil circulatoire;4
2019;11;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2041
2020;11;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2047
2021;11;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1980
2022;11;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2148
2019;24;95p;Tous sexes;7. Maladies de l’appareil circulatoire;912
2020;24;95p;Tous sexes;7. Maladies de l’appareil circulatoire;992
2021;24;95p;Tous sexes;7. Maladies de l’appareil circulatoire;980
2022;24;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1051
2019;27;95p;Tous sexes;7. Maladies de l’appareil circulatoire;981
2020;27;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1013
2021;27;95p;Tous sexes;7. Maladies de l’appareil circulatoire;976
2022;27;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1048
2019;28;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1073
2020;28;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1086
2021;28;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1113
2022;28;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1183
2019;32;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1240
2020;32;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1205
2021;32;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1282
2022;32;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1314
2019;44;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1406
2020;44;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1368
2021;44;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1370
2022;44;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1494
2019;52;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1336
2020;52;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1367
2021;52;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1359
2022;52;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1518
2019;53;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1140
2020;53;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1100
2021;53;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1227
2022;53;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1334
2019;75;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2459
2020;75;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2457
2021;75;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2575
2022;75;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2696
2019;76;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2084
2020;76;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2120
2021;76;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2409
2022;76;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2421
2019;84;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2206
2020;84;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2259
2021;84;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2233
2022;84;95p;Tous sexes;7. Maladies de l’appareil circulatoire;2444
2019;93;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1616
2020;93;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1602
2021;93;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1690
2022;93;95p;Tous sexes;7. Maladies de l’appareil circulatoire;1803
2019;94;95p;Tous sexes;7. Maladies de l’appareil circulatoire;111
2020;94;95p;Tous sexes;7. Maladies de l’appareil circulatoire;111
2021;94;95p;Tous sexes;7. Maladies de l’appareil circulatoire;110
2022;94;95p;Tous sexes;7. Maladies de l’appareil circulatoire;99
2019;1;35-44;Femmes;7. Maladies de l’appareil circulatoire;6
2020;1;35-44;Femmes;7. Maladies de l’appareil circulatoire;3
2021;1;35-44;Femmes;7. Maladies de l’appareil circulatoire;2
2022;1;35-44;Femmes;7. Maladies de l’appareil circulatoire;3
2019;2;35-44;Femmes;7. Maladies de l’appareil circulatoire;4
2020;2;35-44;Femmes;7. Maladies de l’appareil circulatoire;3
2021;2;35-44;Femmes;7. Maladies de l’appareil circulatoire;1
2022;2;35-44;Femmes;7. Maladies de l’appareil circulatoire;3
2019;3;35-44;Femmes;7. Maladies de l’appareil circulatoire;5
2020;3;35-44;Femmes;7. Maladies de l’appareil circulatoire;2
2021;3;35-44;Femmes;7. Maladies de l’appareil circulatoire;2
2022;3;35-44;Femmes;7. Maladies de l’appareil circulatoire;2
2019;4;35-44;Femmes;7. Maladies de l’appareil circulatoire;4
2020;4;35-44;Femmes;7. Maladies de l’appareil circulatoire;3
2021;4;35-44;Femmes;7. Maladies de l’appareil circulatoire;5
2022;4;35-44;Femmes;7. Maladies de l’appareil circulatoire;5
2019;6;35-44;Femmes;7. Maladies de l’appareil circulatoire;5
2020;6;35-44;Femmes;7. Maladies de l’appareil circulatoire;2
2021;6;35-44;Femmes;7. Maladies de l’appareil circulatoire;5
2022;6;35-44;Femmes;7. Maladies de l’appareil circulatoire;5
2019;11;35-44;Femmes;7. Maladies de l’appareil circulatoire;52
2020;11;35-44;Femmes;7. Maladies de l’appareil circulatoire;57
2021;11;35-44;Femmes;7. Maladies de l’appareil circulatoire;48
2022;11;35-44;Femmes;7. Maladies de l’appareil circulatoire;67
2019;24;35-44;Femmes;7. Maladies de l’appareil circulatoire;13
2020;24;35-44;Femmes;7. Maladies de l’appareil circulatoire;12
2021;24;35-44;Femmes;7. Maladies de l’appareil circulatoire;12
2022;24;35-44;Femmes;7. Maladies de l’appareil circulatoire;11
2019;27;35-44;Femmes;7. Maladies de l’appareil circulatoire;5
2020;27;35-44;Femmes;7. Maladies de l’appareil circulatoire;9
2021;27;35-44;Femmes;7. Maladies de l’appareil circulatoire;9
2022;27;35-44;Femmes;7. Maladies de l’appareil circulatoire;13
2019;28;35-44;Femmes;7. Maladies de l’appareil circulatoire;6
2020;28;35-44;Femmes;7. Maladies de l’appareil circulatoire;25
2021;28;35-44;Femmes;7. Maladies de l’appareil circulatoire;10
2022;28;35-44;Femmes;7. Maladies de l’appareil circulatoire;15
2019;32;35-44;Femmes;7. Maladies de l’appareil circulatoire;34
2020;32;35-44;Femmes;7. Maladies de l’appareil circulatoire;28
2021;32;35-44;Femmes;7. Maladies de l’appareil circulatoire;40
2022;32;35-44;Femmes;7. Maladies de l’appareil circulatoire;31
2019;44;35-44;Femmes;7. Maladies de l’appareil circulatoire;33
2020;44;35-44;Femmes;7. Maladies de l’appareil circulatoire;25
2021;44;35-44;Femmes;7. Maladies de l’appareil circulatoire;22
2022;44;35-44;Femmes;7. Maladies de l’appareil circulatoire;27
2019;52;35-44;Femmes;7. Maladies de l’appareil circulatoire;14
2020;52;35-44;Femmes;7. Maladies de l’appareil circulatoire;4
2021;52;35-44;Femmes;7. Maladies de l’appareil circulatoire;8
2022;52;35-44;Femmes;7. Maladies de l’appareil circulatoire;13
2019;53;35-44;Femmes;7. Maladies de l’appareil circulatoire;12
2020;53;35-44;Femmes;7. Maladies de l’appareil circulatoire;12
2021;53;35-44;Femmes;7. Maladies de l’appareil circulatoire;8
2022;53;35-44;Femmes;7. Maladies de l’appareil circulatoire;7
2019;75;35-44;Femmes;7. Maladies de l’appareil circulatoire;22
2020;75;35-44;Femmes;7. Maladies de l’appareil circulatoire;19
2021;75;35-44;Femmes;7. Maladies de l’appareil circulatoire;12
2022;75;35-44;Femmes;7. Maladies de l’appareil circulatoire;17
2019;76;35-44;Femmes;7. Maladies de l’appareil circulatoire;22
2020;76;35-44;Femmes;7. Maladies de l’appareil circulatoire;17
2021;76;35-44;Femmes;7. Maladies de l’appareil circulatoire;20
2022;76;35-44;Femmes;7. Maladies de l’appareil circulatoire;14
2019;84;35-44;Femmes;7. Maladies de l’appareil circulatoire;22
2020;84;35-44;Femmes;7. Maladies de l’appareil circulatoire;21
2021;84;35-44;Femmes;7. Maladies de l’appareil circulatoire;22
2022;84;35-44;Femmes;7. Maladies de l’appareil circulatoire;30
2019;93;35-44;Femmes;7. Maladies de l’appareil circulatoire;20
2020;93;35-44;Femmes;7. Maladies de l’appareil circulatoire;16
2021;93;35-44;Femmes;7. Maladies de l’appareil circulatoire;14
2022;93;35-44;Femmes;7. Maladies de l’appareil circulatoire;11
2019;94;35-44;Femmes;7. Maladies de l’appareil circulatoire;1
2020;94;35-44;Femmes;7. Maladies de l’appareil circulatoire;1
2021;94;35-44;Femmes;7. Maladies de l’appareil circulatoire;2
2022;94;35-44;Femmes;7. Maladies de l’appareil circulatoire;2
2019;1;45-54;Femmes;7. Maladies de l’appareil circulatoire;12
2020;1;45-54;Femmes;7. Maladies de l’appareil circulatoire;10
